,id,age group,gender,age,dataset
0,1,adult,,,train
1,2,adult,,,train
2,3,adult,,,train
3,4,adult,,,train
4,5,adult,,,train
5,6,adult,,,train
6,7,adult,,,train
7,9,adult,,,train
8,10,adult,,,train
9,11,adult,,,train
10,12,adult,,,train
11,13,adult,,,train
12,14,adult,,,train
13,15,adult,,,train
14,16,adult,,,train
15,17,adult,,,train
16,18,adult,,,train
17,19,adult,,,train
18,20,adult,,,train
19,21,adult,,,train
20,22,adult,,,train
21,23,adult,,,train
22,24,adult,,,train
23,25,adult,,,train
24,26,adult,,,train
25,27,adult,,,train
26,28,adult,,,train
27,29,adult,,,train
28,30,adult,,,train
29,31,adult,,,train
30,32,adult,,,train
31,33,adult,,,train
32,35,adult,,,train
33,36,adult,,,train
34,37,adult,,,train
35,38,adult,,,train
36,39,adult,,,train
37,40,adult,,,train
38,41,adult,,,train
39,42,adult,,,train
40,43,adult,,,train
41,44,adult,,,train
42,45,adult,,,train
43,46,adult,,,train
44,47,adult,,,train
45,48,adult,,,train
46,49,adult,,,train
47,50,adult,,,train
48,51,adult,,,train
49,52,adult,,,train
50,53,adult,,,train
51,54,adult,,,train
52,55,adult,,,train
53,56,adult,,,train
54,57,adult,,,train
55,58,adult,,,train
56,59,adult,,,train
57,60,adult,,,train
58,61,adult,,,train
59,62,adult,,,train
60,63,adult,,,train
61,64,adult,,,train
62,65,adult,,,train
63,66,adult,,,train
64,67,adult,,,train
65,68,adult,,,train
66,69,adult,,,train
67,70,adult,,,train
68,71,adult,,,train
69,72,adult,,,train
70,73,adult,,,train
71,74,adult,,,train
72,75,adult,,,train
73,76,adult,,,train
74,77,adult,,,train
75,78,seniors,,,test
76,79,seniors,,,test
77,82,seniors,,,test
78,83,seniors,,,test
79,84,seniors,,,test
80,85,seniors,,,test
81,86,seniors,,,test
82,87,seniors,,,test
83,88,seniors,,,test
84,89,seniors,,,test
85,90,seniors,,,test
86,91,seniors,,,test
87,92,seniors,,,test
88,93,seniors,,,test
89,94,seniors,,,test
90,95,seniors,,,test
91,96,seniors,,,test
92,97,seniors,,,test
93,98,seniors,,,test
94,99,seniors,,,test
95,100,seniors,,,test
96,101,children&Adolescents,,,train
97,102,children&Adolescents,,,train
98,103,children&Adolescents,,,train
99,104,children&Adolescents,,,train
100,105,children&Adolescents,,,train
101,106,children&Adolescents,,,train
102,107,children&Adolescents,,,train
103,108,children&Adolescents,,,train
104,109,children&Adolescents,,,train
105,110,children&Adolescents,,,train
106,111,children&Adolescents,,,train
107,112,children&Adolescents,,,train
108,113,children&Adolescents,,,train
109,114,children&Adolescents,,,train
110,115,children&Adolescents,,,train
111,116,children&Adolescents,,,train
112,117,children&Adolescents,,,train
113,118,children&Adolescents,,,train
114,119,children&Adolescents,,,train
115,120,children&Adolescents,,,train
116,121,children&Adolescents,,,train
117,122,children&Adolescents,,,train
118,123,children&Adolescents,,,train
119,124,children&Adolescents,,,train
120,125,children&Adolescents,,,train
121,126,children&Adolescents,,,train
122,127,children&Adolescents,,,train
123,128,children&Adolescents,,,train
124,129,children&Adolescents,,,train
125,130,children&Adolescents,,,train
126,131,children&Adolescents,,,train
127,132,children&Adolescents,,,train
128,133,children&Adolescents,,,train
129,134,children&Adolescents,,,train
130,135,children&Adolescents,,,train
131,136,children&Adolescents,,,train
132,137,children&Adolescents,,,train
133,138,children&Adolescents,,,train
134,139,children&Adolescents,,,train
135,140,children&Adolescents,,,train
136,141,children&Adolescents,,,train
137,142,children&Adolescents,,,train
138,143,children&Adolescents,,,train
139,144,children&Adolescents,,,train
140,145,children&Adolescents,,,train
141,146,children&Adolescents,,,train
142,147,children&Adolescents,,,train
143,148,children&Adolescents,,,train
144,149,children&Adolescents,,,train
145,150,children&Adolescents,,,train
146,151,children&Adolescents,,,train
147,152,children&Adolescents,,,train
148,155,children&Adolescents,,,train
149,156,children&Adolescents,,,train
150,157,children&Adolescents,,,train
151,158,children&Adolescents,,,train
152,159,children&Adolescents,,,train
153,160,children&Adolescents,,,train
154,161,children&Adolescents,,,train
155,162,children&Adolescents,,,train
156,163,children&Adolescents,,,train
157,164,children&Adolescents,,,train
158,165,children&Adolescents,,,train
159,166,children&Adolescents,,,train
160,167,children&Adolescents,,,train
161,168,children&Adolescents,,,train
162,169,children&Adolescents,,,train
163,170,children&Adolescents,,,train
164,172,children&Adolescents,,,train
165,173,children&Adolescents,,,train
166,174,children&Adolescents,,,train
167,175,children&Adolescents,,,train
168,176,children&Adolescents,,,train
169,177,children&Adolescents,,,train
170,178,children&Adolescents,,,train
171,179,children&Adolescents,,,train
172,180,children&Adolescents,,,train
173,181,children&Adolescents,,,train
174,182,children&Adolescents,,,train
175,183,children&Adolescents,,,train
176,184,children&Adolescents,,,train
177,185,children&Adolescents,,,train
178,186,children&Adolescents,,,train
179,187,children&Adolescents,,,train
180,188,children&Adolescents,,,train
181,189,children&Adolescents,,,train
182,190,children&Adolescents,,,train
183,191,children&Adolescents,,,train
184,192,children&Adolescents,,,train
185,193,children&Adolescents,,,train
186,194,children&Adolescents,,,train
187,195,children&Adolescents,,,train
188,196,children&Adolescents,,,train
189,197,children&Adolescents,,,train
190,198,children&Adolescents,,,train
191,199,children&Adolescents,,,train
192,200,children&Adolescents,,,train
193,201,children&Adolescents,,,train
194,202,children&Adolescents,,,train
195,203,children&Adolescents,,,train
196,204,children&Adolescents,,,train
197,205,children&Adolescents,,,train
198,206,children&Adolescents,,,train
199,207,children&Adolescents,,,train
200,208,children&Adolescents,,,train
201,209,children&Adolescents,,,train
202,210,children&Adolescents,,,train
203,211,children&Adolescents,,,train
204,212,children&Adolescents,,,train
205,213,children&Adolescents,,,train
206,214,children&Adolescents,,,train
207,215,children&Adolescents,,,train
208,216,children&Adolescents,,,train
209,217,children&Adolescents,,,train
210,218,children&Adolescents,,,train
211,219,children&Adolescents,,,train
212,220,children&Adolescents,,,train
213,221,children&Adolescents,,,train
214,222,children&Adolescents,,,train
215,223,adult,,,train
216,224,adult,,,train
217,225,adult,,,train
218,226,adult,,,train
219,227,adult,,,train
220,344,children&Adolescents,male,8.0,train
221,345,children&Adolescents,male,8.0,train
222,346,children&Adolescents,female,13.0,train
223,347,adult,female,30.0,train
224,348,adult,female,24.0,train
225,349,seniors,female,80.0,test
226,353,adult,female,25.0,train
227,354,adult,male,23.0,train
228,355,adult,female,20.0,train
229,358,adult,female,31.0,train
230,361,adult,female,35.0,train
231,363,adult,female,25.0,train
232,364,adult,female,29.0,train
233,365,adult,female,25.0,train
234,367,adult,female,44.0,train
235,370,children&Adolescents,female,13.0,train
236,371,adult,female,41.0,train
237,373,children&Adolescents,female,13.0,train
238,374,children&Adolescents,female,13.0,train
239,375,adult,female,37.0,train
240,376,children&Adolescents,female,13.0,train
241,377,children&Adolescents,male,13.0,train
242,378,adult,female,24.0,train
243,379,children&Adolescents,female,13.0,train
244,380,children&Adolescents,male,13.0,train
245,381,adult,female,51.0,train
246,383,children&Adolescents,male,13.0,train
247,384,children&Adolescents,male,13.0,train
248,386,adult,female,30.0,train
249,387,adult,male,28.0,train
250,388,adult,female,54.0,train
