id,age group,dataset,gender,age,mainCharacter,emotion,activity,situation,expectation,need,mainCharacter_ko,emotion_ko,activity_ko,situation_ko,expectation_ko,need_ko,drawing_time,stroke_count,avg_stroke_length
1,adult,train,,,,,,,,,,,,,,,,79,4025.536237344210
2,adult,train,,,,,,,,,,,,,,,,96,8160.946528427200
3,adult,test,,,,,,,,,,,,,,,,69,5991.01875953042
4,adult,train,,,,,,,,,,,,,,,,77,6281.350462297130
5,adult,train,,,,,,,,,,,,,,,,73,4235.989422481330
6,adult,train,,,,,,,,,,,,,,,,57,1463.0680295521000
7,adult,test,,,,,,,,,,,,,,,,78,5460.931562261220
9,adult,train,,,,,,,,,,,,,,,,62,4855.398631878020
10,adult,train,,,,,,,,,,,,,,,,92,6502.194748475920
11,adult,test,,,,,,,,,,,,,,,,115,6783.461027156340
12,adult,test,,,,,,,,,,,,,,,,31,2280.64307242612
13,adult,test,,,,,,,,,,,,,,,,101,11094.08378567970
14,adult,train,,,,,,,,,,,,,,,,118,6203.150861648280
15,adult,train,,,,,,,,,,,,,,,,158,10610.074392223500
16,adult,train,,,,,,,,,,,,,,,,58,7480.2460585116
17,adult,train,,,,,,,,,,,,,,,,57,21289.298582223400
18,adult,train,,,,,,,,,,,,,,,,129,9266.438713062480
19,adult,train,,,,,,,,,,,,,,,,72,5672.831859285710
20,adult,train,,,,,,,,,,,,,,,,81,4928.407923692630
21,adult,train,,,,,,,,,,,,,,,,48,2893.103617444080
22,adult,train,,,,,,,,,,,,,,,,174,8133.636855612270
23,adult,train,,,,,,,,,,,,,,,,119,3236.974094341250
24,adult,train,,,,,,,,,,,,,,,,63,2780.716585540170
25,adult,test,,,,,,,,,,,,,,,,49,4873.585564269500
26,adult,test,,,,,,,,,,,,,,,,59,3480.284598062340
27,adult,train,,,,,,,,,,,,,,,,110,4944.263935957210
28,adult,train,,,,,,,,,,,,,,,,77,5512.11649887209
29,adult,train,,,,,,,,,,,,,,,,70,4963.4006761261500
30,adult,train,,,,,,,,,,,,,,,,87,6132.310005866520
31,adult,test,,,,,,,,,,,,,,,,52,5818.461898863290
32,adult,test,,,,,,,,,,,,,,,,48,2417.9437692999200
33,adult,test,,,,,,,,,,,,,,,,110,6814.253555519540
35,adult,train,,,,,,,,,,,,,,,,48,5688.683307713680
36,adult,train,,,,,,,,,,,,,,,,75,4796.359302495110
37,adult,train,,,,,,,,,,,,,,,,79,6829.1856482565000
38,adult,train,,,,,,,,,,,,,,,,75,13921.999409033600
39,adult,train,,,,,,,,,,,,,,,,95,5058.403419410010
40,adult,train,,,,,,,,,,,,,,,,40,5579.8660142874
41,adult,train,,,,,,,,,,,,,,,,61,4737.710752578490
42,adult,test,,,,,,,,,,,,,,,,131,4070.950179860880
43,adult,train,,,,,,,,,,,,,,,,155,14548.86745039410
44,adult,test,,,,,,,,,,,,,,,,71,3809.469621181220
45,adult,test,,,,,,,,,,,,,,,,85,5618.507949976500
46,adult,train,,,,,,,,,,,,,,,,82,5142.814919149250
47,adult,train,,,,,,,,,,,,,,,,168,20278.572622470100
48,adult,train,,,,,,,,,,,,,,,,38,3257.6269467614700
49,adult,train,,,,,,,,,,,,,,,,122,4975.33734999862
50,adult,train,,,,,,,,,,,,,,,,62,4807.680169633640
51,adult,train,,,,,,,,,,,,,,,,68,6008.168347694230
52,adult,test,,,,,,,,,,,,,,,,39,3796.283417978260
53,adult,train,,,,,,,,,,,,,,,,74,9982.834569123020
54,adult,train,,,,,,,,,,,,,,,,32,2440.303078542270
55,adult,train,,,,,,,,,,,,,,,,65,1613.7725581990400
56,adult,train,,,,,,,,,,,,,,,,73,2551.158575007460
57,adult,train,,,,,,,,,,,,,,,,58,2588.042071355530
58,adult,test,,,,,,,,,,,,,,,,83,3952.708419001400
59,adult,test,,,,,,,,,,,,,,,,71,4523.844014207290
60,adult,train,,,,,,,,,,,,,,,,89,4395.414514231480
61,adult,train,,,,,,,,,,,,,,,,246,18784.21982089850
62,adult,train,,,,,,,,,,,,,,,,83,6894.148896725990
63,adult,test,,,,,,,,,,,,,,,,87,4775.475873914500
64,adult,train,,,,,,,,,,,,,,,,136,5479.99222474953
65,adult,train,,,,,,,,,,,,,,,,129,5647.441288185570
66,adult,test,,,,,,,,,,,,,,,,79,2274.3929407110400
67,adult,train,,,,,,,,,,,,,,,,97,13639.662711803700
68,adult,train,,,,,,,,,,,,,,,,89,2804.941825867360
69,adult,test,,,,,,,,,,,,,,,,87,3879.3383444088800
70,adult,train,,,,,,,,,,,,,,,,92,3517.089027714560
71,adult,test,,,,,,,,,,,,,,,,137,10092.654210947800
72,adult,train,,,,,,,,,,,,,,,,73,5708.173037070560
73,adult,test,,,,,,,,,,,,,,,,62,4332.512747287520
74,adult,train,,,,,,,,,,,,,,,,70,3215.3349329456300
75,adult,test,,,,,,,,,,,,,,,,41,2011.4789177292800
76,adult,test,,,,,,,,,,,,,,,,45,1585.173225712680
77,adult,train,,,,,,,,,,,,,,,,83,7664.884447555300
78,seniors,train,,,,,,,,,,,,,,,,52,4447.29059845259
79,seniors,train,,,,,,,,,,,,,,,,49,3755.258436139910
82,seniors,train,,,,,,,,,,,,,,,,44,2200.2824506441100
83,seniors,train,,,,,,,,,,,,,,,,36,2211.9683238301100
84,seniors,train,,,,,,,,,,,,,,,,59,3561.453479917040
85,seniors,test,,,,,,,,,,,,,,,,35,1763.0131041103900
86,seniors,test,,,,,,,,,,,,,,,,77,3595.2236270419000
87,seniors,train,,,,,,,,,,,,,,,,26,1421.27866982867
88,seniors,train,,,,,,,,,,,,,,,,62,1823.1772788465900
89,seniors,test,,,,,,,,,,,,,,,,31,1599.6059931362700
90,seniors,test,,,,,,,,,,,,,,,,40,2115.5807841519900
91,seniors,train,,,,,,,,,,,,,,,,36,1546.774809477510
92,seniors,train,,,,,,,,,,,,,,,,42,1473.2478873113000
93,seniors,train,,,,,,,,,,,,,,,,114,6040.009844332680
94,seniors,train,,,,,,,,,,,,,,,,87,9730.381011447910
95,seniors,test,,,,,,,,,,,,,,,,167,4797.009821898220
96,seniors,test,,,,,,,,,,,,,,,,48,3088.1629527854000
97,seniors,test,,,,,,,,,,,,,,,,46,3162.992085380200
98,seniors,test,,,,,,,,,,,,,,,,67,7366.71360672313
99,seniors,test,,,,,,,,,,,,,,,,82,3364.7880657790500
100,seniors,train,,,,,,,,,,,,,,,,123,5877.788299604610
101,children&Adolescents,test,,,,,,,,,,,,,,,,203,11395.115215213000
102,children&Adolescents,train,,,,,,,,,,,,,,,,86,9912.74089632433
103,children&Adolescents,test,,,,,,,,,,,,,,,,52,1172.8563553995500
104,children&Adolescents,train,,,,,,,,,,,,,,,,105,13822.090742820400
105,children&Adolescents,train,,,,,,,,,,,,,,,,89,8711.195674442190
106,children&Adolescents,train,,,,,,,,,,,,,,,,305,10203.5577901227
107,children&Adolescents,test,,,,,,,,,,,,,,,,119,6392.996174599090
108,children&Adolescents,train,,,,,,,,,,,,,,,,71,26165.414196748000
109,children&Adolescents,test,,,,,,,,,,,,,,,,214,12953.293442433700
110,children&Adolescents,test,,,,,,,,,,,,,,,,120,6339.658317241740
111,children&Adolescents,test,,,,,,,,,,,,,,,,81,5394.6861367880700
112,children&Adolescents,train,,,,,,,,,,,,,,,,150,11411.5248355307
113,children&Adolescents,train,,,,,,,,,,,,,,,,133,15563.499770768300
114,children&Adolescents,test,,,,,,,,,,,,,,,,199,10923.05175271630
115,children&Adolescents,train,,,,,,,,,,,,,,,,59,8263.38698118707
116,children&Adolescents,train,,,,,,,,,,,,,,,,161,7824.624803666900
117,children&Adolescents,train,,,,,,,,,,,,,,,,49,2689.6130093876700
118,children&Adolescents,train,,,,,,,,,,,,,,,,263,9848.946052684640
119,children&Adolescents,train,,,,,,,,,,,,,,,,179,10799.146617187900
120,children&Adolescents,train,,,,,,,,,,,,,,,,256,13122.322760684200
121,children&Adolescents,train,,,,,,,,,,,,,,,,349,24889.89221498740
122,children&Adolescents,test,,,,,,,,,,,,,,,,250,11442.633832376700
123,children&Adolescents,train,,,,,,,,,,,,,,,,65,3257.087532454830
124,children&Adolescents,train,,,,,,,,,,,,,,,,46,1907.8936641593100
125,children&Adolescents,test,,,,,,,,,,,,,,,,94,4699.637099656470
126,children&Adolescents,train,,,,,,,,,,,,,,,,173,11635.319662605400
127,children&Adolescents,train,,,,,,,,,,,,,,,,174,9196.448402981140
128,children&Adolescents,train,,,,,,,,,,,,,,,,142,9854.421247598520
129,children&Adolescents,test,,,,,,,,,,,,,,,,165,9241.93866716639
130,children&Adolescents,test,,,,,,,,,,,,,,,,142,11678.367450960300
131,children&Adolescents,test,,,,,,,,,,,,,,,,592,12159.608079499200
132,children&Adolescents,train,,,,,,,,,,,,,,,,346,20864.412770681100
133,children&Adolescents,test,,,,,,,,,,,,,,,,166,8784.740437743440
134,children&Adolescents,train,,,,,,,,,,,,,,,,113,10682.733135146700
135,children&Adolescents,train,,,,,,,,,,,,,,,,226,19329.94632901570
136,children&Adolescents,test,,,,,,,,,,,,,,,,104,5548.604360781510
137,children&Adolescents,test,,,,,,,,,,,,,,,,326,20140.38505015880
138,children&Adolescents,test,,,,,,,,,,,,,,,,94,6941.446643786710
139,children&Adolescents,train,,,,,,,,,,,,,,,,135,14246.22709853580
140,children&Adolescents,train,,,,,,,,,,,,,,,,331,13918.79986151250
141,children&Adolescents,train,,,,,,,,,,,,,,,,134,9348.88755935064
142,children&Adolescents,test,,,,,,,,,,,,,,,,183,16792.137595687200
143,children&Adolescents,train,,,,,,,,,,,,,,,,119,5718.819589814320
144,children&Adolescents,train,,,,,,,,,,,,,,,,70,9446.397169668910
145,children&Adolescents,test,,,,,,,,,,,,,,,,189,9767.601007812210
146,children&Adolescents,train,,,,,,,,,,,,,,,,84,10216.662018468500
147,children&Adolescents,train,,,,,,,,,,,,,,,,85,7489.7405336889
148,children&Adolescents,train,,,,,,,,,,,,,,,,37,1755.2598812583600
149,children&Adolescents,test,,,,,,,,,,,,,,,,68,3361.598788736980
150,children&Adolescents,train,,,,,,,,,,,,,,,,56,5373.553133769240
151,children&Adolescents,train,,,,,,,,,,,,,,,,245,19294.52215385190
152,children&Adolescents,train,,,,,,,,,,,,,,,,42,2931.656316846750
155,children&Adolescents,train,,,,,,,,,,,,,,,,84,5400.941892328690
156,children&Adolescents,train,,,,,,,,,,,,,,,,47,6032.9653108633500
157,children&Adolescents,train,,,,,,,,,,,,,,,,112,4944.255452896460
158,children&Adolescents,test,,,,,,,,,,,,,,,,42,5131.477814843160
159,children&Adolescents,test,,,,,,,,,,,,,,,,86,7349.723104127270
160,children&Adolescents,train,,,,,,,,,,,,,,,,117,10909.192825464700
161,children&Adolescents,train,,,,,,,,,,,,,,,,166,5590.952711832110
162,children&Adolescents,test,,,,,,,,,,,,,,,,50,3267.7528501714300
163,children&Adolescents,train,,,,,,,,,,,,,,,,67,4280.3454831639100
164,children&Adolescents,train,,,,,,,,,,,,,,,,88,12433.997402612400
165,children&Adolescents,train,,,,,,,,,,,,,,,,160,4547.170904761350
166,children&Adolescents,train,,,,,,,,,,,,,,,,49,4514.649055940420
167,children&Adolescents,train,,,,,,,,,,,,,,,,161,15619.701355757600
